项目/年份,2020,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,1336300,1326500,1052700,856500,324900,213600
资产减值准备,1194.9,24900,-752,90300,20400,43600
资产折旧,158800,165400,153600,157500,170100,152200
无形资产摊销,30200,35500,37800,33900,39400,25500
长期待摊费用摊销,1472.4,1052.3,1792,0,278.2,33.7
处置资产的损失,-1046.9,-56900,2805.3,1827.4,-5142.8,19300
货币资金,1259600,,,,,
长期股权投资,342000,,,,,
长期债务,453200,,,,,
应付债券,0
长期应付款,3708.8
短期债务,763600,,,,,
一年内到期的长期负债,83000
利息支出,43466.4,,,,
公司债务,6806700,,,,,
股东权益合计,5818800,,,,,
少数股东权益,162500,,,,,
发行股数量,848522,,,,
