项目/年份,2019,2018,2017,2016,2015,2014,2013,2012,2011
经营活动产生的现金流量净额,2593300,2287700,1070800,744900,460200,402100,386900,380600,201200
资产减值准备,30700,-3567.7,30300,7429.88,-835.33,7426.63,2691.06,3512.85,-494.24
资产折旧,427400,302400,303300,262900,147300,93400,84600,73100,66200
无形资产摊销,32100,15300,14400,12900,7317.79,4452.57,2104.77,1185.67,909.57
长期待摊费用摊销,548.26,774.48,777.88,351.15,0,1013.21,1001.86,766.52,472.29
处置资产的损失,11500,9284.54,21800,8502.55,16000,22300,2943.74,17000,1387
货币资金,456600,456601,456602,456603,456604,456605,456606,456607,456608
长期股权投资,71800,71801,71802,71803,71804,71805,71806,71807,71808
长期债务,596300,,,,
短期债务,2003400,,,,
利息支出,136006.5860,,,,
公司债务,5293400,5293401,5293402,5293403,5293404,5293405,5293406,5293407,5293408
股东权益合计,4393100,4393101,4393102,4393103,4393104,4393105,4393106,4393107,4393108
少数股东权益,156700,156701,156702,156703,156704,156705,156706,156707,156708
发行股数量,314000,31401,31402,31403,31404,31405,31406,31407,31408
