项目/年份,2020,2019,2018,2017,2016,2015
经营活动产生的现金流量净额,742200,621900,506400,285100,216900,-333400
资产减值准备,177500,68000,36900,879300,127200,20800
资产折旧,58600,61200,58500,69100,74600,62600
无形资产摊销,25300,25200,27700,23900,20400,13400
长期待摊费用摊销,400.67,1096.33,807.01,439.7,521.43,435.88
处置资产的损失,-26800,-2082.81,-430.3,-2432.41,-61200,-11100
货币资金,1248300,,,,
长期股权投资,338800,,,,
长期债务,292700,,,,
应付债券,1341000
长期应付款,116000
短期债务,295800,,,,
一年内到期的长期负债,27000
利息支出,94131,,,,
公司债务,6838800,,,,
股东权益合计,4788700,,,,
少数股东权益,114300,,,,
发行股数量,793769.05,,,,
